TA,T44A,37.0860,-89.5896,24.08,2.15
TA,T45A,37.0196,-88.6447,35.72,1.54
TA,T48A,37.1094,-86.3943,26.69,1.80
TA,T49A,37.1050,-85.5334,28.09,1.84
TA,T56A,37.0288,-80.0311,27.15,1.92
TA,T59A,36.9716,-77.5541,35.62,1.60
TA,T60A,37.1397,-76.7349,35.28,1.53
TA,TVZX,34.0733,-106.9196,31.31,1.85
TA,U04C,36.3627,-120.7828,36.66,1.68
TA,U11A,36.4230,-115.3835,28.57,1.82
TA,U18A,36.4199,-109.8696,34.79,1.60
TA,U20A,36.3758,-108.5204,27.09,1.74
TA,U24A,36.4093,-105.2784,31.67,1.72
TA,U26A,36.3945,-103.7439,24.32,1.94
TA,U27A,36.4213,-102.8246,23.86,1.97
TA,U28A,36.3793,-102.2243,23.78,2.19
TA,U37A,36.4060,-95.1161,24.26,2.07
TA,U44A,36.5047,-89.6863,24.96,1.87
TA,U45A,36.3481,-88.7635,34.37,1.57
TA,U52A,36.3929,-83.3671,26.93,1.81
TA,U61A,36.3319,-76.4464,20.88,2.04
TA,V11A,35.8384,-115.4305,22.00,2.36
TA,V17A,35.6218,-110.7938,22.92,2.26
TA,V39A,35.8389,-93.6450,36.56,1.58
TA,V40A,35.8044,-92.8232,21.36,2.18
TA,V41A,35.7851,-92.1554,26.79,1.74
TA,V42A,35.8060,-91.3900,20.72,2.05
TA,V46A,35.8007,-88.1177,20.00,2.08
TA,V47A,35.8278,-87.5205,20.72,2.09
TA,V49A,35.7663,-85.9030,26.35,1.81
TA,V51A,35.8033,-84.3511,24.08,1.84
TA,V52A,35.8417,-83.5959,30.83,1.64
TA,V59A,35.7649,-78.2394,21.52,2.30
TA,W12A,35.3010,-114.8701,24.68,2.03
TA,W24A,35.2106,-105.4075,20.86,2.16
TA,W29A,35.1212,-101.6476,24.34,1.91
TA,W32A,35.1238,-99.2458,21.18,2.21
TA,W33A,35.1518,-98.4686,28.59,1.88
TA,W37B,35.1390,-95.4316,27.35,1.87
TA,W42A,35.2732,-91.5224,36.28,1.54
TA,W45A,35.1568,-89.1860,30.55,1.59
TA,W46A,35.1333,-88.3783,23.04,2.02
TA,W48A,35.1386,-86.9333,33.67,1.58
TA,W51A,35.1606,-84.7599,33.47,1.54
TA,W56A,35.1350,-80.5828,21.50,2.14
TA,W58A,35.0208,-79.2333,20.84,1.96
TA,W61A,35.1773,-76.9909,24.38,1.72
TA,X17A,34.3371,-110.8058,25.43,1.92
TA,X24A,34.5646,-105.4349,27.85,1.89
TA,X28A,34.5185,-102.1973,20.64,2.46
TA,X30A,34.4461,-100.8740,35.08,1.58
TA,X35A,34.3995,-96.9731,32.71,1.69
TA,X41A,34.4949,-92.5137,25.01,1.92
TA,X44A,34.4998,-90.1462,21.52,2.03
TA,X46A,34.5564,-88.5844,30.55,1.71
TA,X52A,34.6032,-83.8938,33.77,1.61
TA,X57A,34.4643,-80.0940,20.84,1.96
TA,X59A,34.5720,-78.6023,25.45,1.77
TA,X60A,34.5773,-77.9768,30.01,1.68
TA,Y16A,33.8798,-111.4783,38.10,1.51
TA,Y18A,33.7776,-110.0341,22.32,2.36
TA,Y19A,33.9571,-109.2541,21.28,2.10
TA,Y21A,34.0087,-107.6740,27.17,1.89
TA,Y22C,34.0741,-106.9211,20.02,2.01
TA,Y25A,33.9229,-104.6928,27.77,1.84
TA,Y35A,33.9059,-97.0374,28.91,1.66
TA,Y39A,33.9380,-94.0936,24.08,1.76
TA,Y41A,33.8807,-92.6113,30.71,1.76
TA,Y44A,33.9618,-90.2112,32.39,1.56
TA,Y47A,33.9025,-87.8494,30.41,1.68
TA,Y51A,33.8993,-85.0640,28.05,1.71
TA,Y54A,33.8621,-82.6880,32.11,1.58
TA,Y55A,33.9375,-81.8581,22.08,1.97
TA,Y57A,34.0170,-80.3915,38.10,1.51
TA,Y60A,34.0046,-78.2163,28.19,1.61
TA,Z19A,33.2921,-109.2657,39.84,1.63
TA,Z20A,33.1132,-108.5922,35.38,1.64
TA,Z37A,33.1981,-95.6229,39.50,1.56
TA,Z38A,33.2599,-94.9851,36.16,1.59
TA,Z39A,33.2418,-94.1822,32.47,1.81
TA,Z48A,33.3764,-87.5556,27.87,1.74
TA,Z50A,33.2540,-85.9226,21.44,2.00
TA,Z56A,33.3253,-81.3687,25.39,1.97
TA,Z59A,33.2414,-79.2780,23.18,2.22
